su_id,std_dem,avg_plan_c,std_plan_c,avg_prof_c,std_prof_c,dis2river,land cover,dis2faults,avg_slope,std_slope,lithology,medi_aspec
132,265.2172852,32.25696945,20.16998291,11.77270317,8.941572189,2127.532408,1,28253.07375,17.24321556,8.093083382,4,315
133,226.7737122,29.56919861,16.3524189,14.9424696,8.358208656,3654.371742,3,28741.25344,40.63120651,14.43915558,4,197.1519318
134,110.2576904,29.54554367,19.80607033,12.70627117,8.500607491,123.7361265,1,33820.07885,34.86146545,10.716012,4,315.868042
135,125.1239014,44.5043602,29.02092934,12.65297127,7.196964741,217.9094763,1,33418.00221,29.39193344,7.859973431,4,327.8042603
136,56.41872025,29.52280426,19.05366898,9.321364403,5.244927883,1346.380099,3,7927.518193,19.92376709,9.496846199,4,219.8302917
137,142.15242,30.33991814,16.31647682,10.23099613,5.340333462,3111.735915,3,10059.88168,26.87570763,7.822112083,4,169.2004852
138,158.1183777,25.82920265,20.84409332,9.131482124,5.862668514,3566.078942,3,21608.95293,25.54346275,9.596589088,2,83.79655457
139,87.46576691,23.46281052,18.49700165,8.943081856,5.768275738,2992.543128,8,30622.80811,29.09914207,10.25110149,4,241.886795
140,112.3174515,36.99773788,26.86899757,8.879042625,5.460913181,51.41614578,1,33277.46272,28.10869217,8.225308418,4,43.02506638
141,131.8915253,37.1434021,24.57675743,10.353508,7.547986507,3627.785029,3,2661.062903,31.50145912,18.37532425,4,70.61548615
142,103.2644882,28.19087982,19.11752701,9.663765907,5.906957626,3673.672054,1,27851.46283,27.77383995,7.596943855,4,126.7807922
143,148.2958069,30.7128334,17.97007561,13.95262432,7.884986401,3023.809377,3,14845.33785,33.07323074,12.75987816,2,129.0428772
144,92.08972931,33.80060196,17.06825829,11.28623772,6.005647659,658.2556088,3,35084.81905,20.99370384,10.83465481,4,113.7494965
145,326.1296692,32.03612518,22.75117874,11.26731873,7.022320271,1163.231068,1,30994.85618,33.11724472,9.86083889,4,282.9946289
146,248.7931976,20.24512482,18.51733017,8.098977089,4.649523258,751.1423952,1,31312.81543,34.78170013,7.038806438,4,312.5389099
147,100.9554901,28.90291595,20.11042404,8.103874207,5.686506748,3125.912405,3,25739.30094,20.74022865,11.52160645,4,112.3431702
148,88.38008118,43.25817871,26.31263351,9.942256927,6.384384632,2039.065246,3,24428.92762,32.50154877,10.77898407,4,18.51750946
149,255.2808075,28.34597778,15.74229336,10.24966145,5.366800785,4258.435613,3,11576.79483,25.6834507,8.53567791,4,191.5751953
150,187.7023163,45.14526749,29.84728813,9.260979652,5.540479183,336.31712,1,32237.30844,32.39421844,9.568867683,4,335.265686
151,40.12976074,34.78263474,19.39720726,11.09380531,7.883646488,1093.486822,3,36177.85645,25.75188255,14.04457092,4,253.6499023
152,91.52439117,48.61401749,27.65908432,10.87290668,6.152342319,2927.106642,3,25315.05033,27.31450462,12.02862167,4,307.7249756
153,55.55712509,32.03915787,20.79728127,9.072732925,5.227221489,737.9034138,3,17590.28575,6.383554459,3.554704905,4,147.5288086
154,65.12128448,25.17100525,17.33493233,6.852293015,3.785496473,794.9037349,3,15245.70343,16.78985977,6.327964306,4,195.0176086
155,196.8053284,25.71228981,16.98142815,9.214811325,5.617858887,971.9849553,3,18369.13974,30.51027107,7.784342766,2,268.0032349
156,113.4932327,33.44591904,18.23352242,10.41217232,5.365047932,1826.399413,3,19375.61471,27.98356628,9.48020649,2,148.897171
157,163.79216,36.36383438,21.61445236,9.63425827,5.71626091,1335.479621,1,34168.9943,21.6325016,11.88581848,4,85.97173309
158,148.1751099,23.34712601,16.51798439,9.725663185,6.169519424,4218.942446,3,29819.70947,30.30993652,9.859164238,4,202.2758942
159,131.8266602,25.68108559,19.28078651,11.63471699,6.90524292,587.4872639,3,31618.04867,23.50875092,12.18089485,4,192.9223785
160,91.92943573,51.43770981,26.54595947,6.438946247,3.201358557,748.8880604,3,4860.971352,14.19920158,5.275951385,2,72.90693665
161,194.8238525,55.6188736,27.14220428,9.551912308,5.279070854,94.78254915,3,6496.154072,25.24383545,7.843016624,4,315
162,124.3900757,27.10793114,20.81578636,8.670996666,4.882972717,4752.436719,3,22881.17058,22.52250862,8.469964981,2,83.18412781
163,43.42511368,41.50142288,20.52976036,16.22900581,9.695850372,1157.64892,3,36435.77393,27.58432198,15.94520092,4,91.77404785
164,44.85793686,33.09711075,21.90537071,8.178017616,5.636970043,207.6153437,3,21785.36392,20.84761238,9.327832222,4,144.4920959
165,88.00537109,52.73014832,29.7761097,9.999447823,6.375330448,344.2670649,3,21680.55559,21.94393349,10.74048901,4,338.1986084
166,68.91455841,33.92186737,18.31383324,8.868814468,4.6859622,728.3504628,3,16833.94069,5.337098122,2.809020042,4,167.0053864
167,77.10124969,33.88302994,16.95766449,10.99151611,5.881323338,2802.887374,3,1212.235308,21.80275154,9.407662392,2,142.8871918
168,153.0349426,26.97167587,20.44911385,9.064923286,5.666065693,2262.637822,3,15280.87112,25.93634987,7.753505707,2,297.1126099
169,122.3976822,37.66264725,29.13424492,9.011835098,5.036309242,184.4362399,1,33568.06811,26.8198185,8.381105423,4,328.5330811
170,155.0572662,24.93904877,14.0460844,9.107804298,5.142332077,2380.280978,3,28952.52232,24.74799347,5.911259651,4,204.8874207
171,286.1941833,25.80129242,14.24129677,10.29399014,6.840370655,1827.60789,3,27633.82053,24.81958008,8.871037483,4,156.2051239
172,15.88396263,39.5428009,20.64444733,5.930487633,3.525491476,232.2771098,8,21108.69328,9.763554573,4.85314846,4,51.91122818
173,113.5516434,37.60360336,20.98102188,9.726577759,5.39858532,2745.071319,3,9785.94909,22.98580742,9.217003822,4,78.23171234
174,141.7253265,30.49643707,24.28817749,7.935100079,4.898451328,471.1280174,1,33628.17856,29.56284714,7.654182434,4,38.88449478
175,51.80385208,26.93394661,18.42350197,10.48936653,7.02398634,4884.655341,3,26551.22167,19.40544128,7.222556114,4,240.5397949
176,167.5547333,25.36677742,17.62088394,9.781207085,6.557850838,295.4197134,3,27286.3926,31.89909363,9.886556625,4,96.39658356
177,100.2784729,28.14304352,17.71505165,9.230067253,4.976919174,764.4295894,3,20048.56292,19.33708954,9.552981377,4,180
178,159.3773804,31.11221695,17.30908585,9.599040985,5.904624939,2148.149846,3,11966.99827,26.97229195,10.35842705,4,138.0664825
179,158.2442322,31.91760826,18.91417313,11.14942169,7.048223019,4332.266921,3,12781.91809,25.91148758,8.598793983,4,78.69006348
180,50.62225723,34.27806091,18.4784832,9.24864006,4.613699913,4050.593362,3,13404.88902,23.82156181,7.394066811,4,231.0449219
181,137.2306976,30.73741913,25.61280441,9.82199192,6.06912756,592.122124,1,32320.6793,33.46891785,12.16760826,4,308.7653503
182,376.7194214,45.55549622,27.58340073,10.19794369,5.96592474,1187.246841,1,30411.50317,31.74850845,8.924535751,4,51.3989563
183,99.09464264,31.63853455,18.73512268,9.906193733,5.941524029,86.99452427,3,30048.20889,24.61861038,9.076734543,4,114.8293457
184,115.0614777,28.48781586,17.64732742,10.33517742,5.368902683,4695.515846,3,26407.02141,26.72605324,9.899608612,4,121.2255783
185,179.9911346,29.41627312,17.38038445,9.061475754,6.034730434,3204.595311,3,30714.88424,30.17052078,14.2322216,4,219.235672
186,169.6568298,26.8942585,16.97019768,10.27483082,6.895657539,2091.943225,3,31233.70186,28.45668411,11.02612019,4,82.32552338
187,63.94655991,31.49230194,19.62079239,10.43046761,6.117432594,697.8802757,3,14870.25298,20.75095367,12.94886017,4,173.6598053
188,103.5970764,25.49677849,16.09051514,6.877836704,3.858606577,3843.090063,3,9562.58836,4.873816013,1.288406968,4,124.4812469
189,186.7469177,25.50005341,15.14135075,9.421790123,5.710387707,2031.963025,3,8762.126211,27.33449173,9.021625519,4,247.9755859
190,110.7437286,30.10480118,18.09838676,10.39805984,6.377623558,1712.64479,3,29213.86963,29.78595543,9.770709991,4,131.0273132
191,188.3763428,30.82779884,18.36029053,13.1838932,7.699408054,556.8897924,1,27289.99732,31.86738205,10.41871834,4,282.5056458
192,122.9001846,29.83172798,22.29224205,13.45838451,8.389446259,435.8462583,3,34424.10567,27.68836021,14.69661808,4,177.5342407
193,87.32380676,24.77817917,15.74429321,7.949576378,4.630310059,708.8568657,3,22831.10922,15.93052673,6.933442116,4,172.476181
194,36.16606522,31.53977776,23.13544083,9.411219597,5.794101238,484.7265409,8,20648.09373,16.48947334,11.37990189,4,196.5803833
195,8.489064217,44.4076004,20.84697151,5.740052223,4.212519646,555.3048682,3,17170.30171,6.073416233,2.444525003,4,164.5971985
196,65.48215485,35.01291275,18.06992149,8.646393776,4.659497738,1376.300813,3,5248.161525,19.69351006,7.129824638,4,204.7174377
197,108.2755432,33.11659622,17.67490387,10.59176731,5.87412262,3946.731097,3,13962.66956,28.03515625,9.437245369,2,206.6462097
198,97.37811279,29.98549271,18.52918816,10.30201244,5.471508503,3899.781183,1,26782.45433,27.39881516,7.570159912,4,193.2524719
199,104.0550613,30.38524818,19.8972702,10.43345165,6.39563942,4229.587072,1,26664.94586,27.76073837,10.46374416,4,181.8087463
200,92.20324707,39.39912415,30.37044525,8.952567101,5.323338509,5110.212369,1,26075.56237,25.79034233,10.92448139,4,331.8214111
201,170.1411591,21.79669571,14.75776196,7.804913521,4.283142567,1535.818706,3,33194.12027,27.93376541,7.031459808,4,234.6887817
202,90.14595032,32.96195602,17.95707703,10.78620338,5.786466599,801.8265536,3,18812.80163,16.79606628,10.78027153,4,154.7222748
203,74.39561462,56.29053497,27.97735023,12.73313999,6.094554424,335.7755684,3,18062.13031,28.78119087,8.781417847,4,325.2440796
204,19.43849945,37.60297775,19.45799255,5.479606628,2.542294025,130.387157,3,3981.870688,10.84217644,3.680276394,2,133.4936066
205,78.31169128,27.61313248,17.96344948,8.710215569,6.366253853,1908.540537,3,2133.436485,20.96309471,8.845704079,2,92.84500122
